report_year,agency_jurisdiction,population,homicides,rapes,assaults,robberies
1978,"Atlanta, GA",456000.0,144.0,592.0,3990.0,4119.0
1978,"Aurora, CO",131499.0,12.0,83.0,504.0,232.0
1978,"Austin, TX",331557.0,35.0,194.0,549.0,635.0
1978,"Baltimore County, MD",641120.0,27.0,168.0,3587.0,818.0
1978,"Baltimore, MD",781730.0,197.0,554.0,5811.0,8097.0
1978,"Boston, MA",616225.0,72.0,475.0,3853.0,5635.0
1978,"Buffalo, NY",391695.0,44.0,221.0,1195.0,1721.0
1978,"Charlotte, NC",309101.0,51.0,114.0,1561.0,709.0
1978,"Chicago, IL",3086699.0,787.0,1341.0,10325.0,15233.0
1978,"Cincinnati, OH",405324.0,57.0,287.0,1659.0,1300.0
1978,"Cleveland, OH",614512.0,213.0,507.0,2623.0,6354.0
1978,"Columbus, OH",578338.0,67.0,309.0,1054.0,1923.0
1978,"Dallas, TX",871832.0,230.0,822.0,4997.0,3835.0
1978,"Denver, CO",485547.0,97.0,577.0,1841.0,2362.0
1978,"Detroit, MI",1294359.0,498.0,1288.0,7533.0,12283.0
1978,"El Paso, TX",399000.0,21.0,121.0,573.0,775.0
1978,"Fairfax County, VA",522890.0,17.0,94.0,314.0,492.0
1978,"Fort Worth, TX",375860.0,86.0,265.0,1101.0,1218.0
1978,"Fresno, CA",194774.0,42.0,114.0,739.0,1102.0
1978,"Honolulu, HI",725259.0,38.0,187.0,346.0,1473.0
1978,"Houston, TX",1486489.0,484.0,1098.0,1918.0,7352.0
1978,"Indianapolis, IN",513271.0,76.0,341.0,1353.0,1963.0
1978,"Jacksonville, FL",523199.0,79.0,278.0,2664.0,1347.0
1978,"Kansas City, MO",463931.0,115.0,342.0,2708.0,1864.0
1978,"Las Vegas, NV",288865.0,54.0,192.0,1092.0,1548.0
1978,"Long Beach, CA",344154.0,68.0,246.0,1244.0,2130.0
1978,"Los Angeles County, CA",972663.0,180.0,595.0,7062.0,2929.0
1978,"Los Angeles, CA",2787525.0,651.0,2467.0,16574.0,17105.0
1978,"Memphis, TN",683112.0,113.0,664.0,1738.0,2897.0
1978,"Mesa, AZ",124937.0,4.0,40.0,328.0,121.0
1978,"Miami-Dade County, FL",669511.0,96.0,334.0,5576.0,2431.0
1978,"Miami, FL",330060.0,96.0,207.0,3137.0,2832.0
1978,"Milwaukee, WI",623657.0,48.0,288.0,890.0,1212.0
1978,"Minneapolis, MN",374800.0,26.0,307.0,1077.0,1688.0
1978,"Montgomery County, MD",525247.0,10.0,110.0,488.0,530.0
1978,"Nashville, TN",452440.0,81.0,217.0,1083.0,1772.0
1978,"Nassau County, NY",1100131.0,13.0,23.0,293.0,676.0
1978,"New Orleans, LA",559160.0,216.0,406.0,2849.0,4164.0
1978,"New York City, NY",7242886.0,1503.0,3882.0,43271.0,74029.0
1978,"Newark, NJ",325679.0,109.0,315.0,2737.0,3682.0
1978,"Oakland, CA",327756.0,97.0,351.0,2152.0,2774.0
1978,"Oklahoma City, OK",381184.0,67.0,314.0,2203.0,1023.0
1978,"Omaha, NE",364446.0,24.0,162.0,792.0,878.0
1978,"Orlando, FL",118393.0,13.0,107.0,1090.0,410.0
1978,"Philadelphia, PA",1885533.0,352.0,724.0,4224.0,7069.0
1978,"Phoenix, AZ",696763.0,88.0,463.0,2819.0,2031.0
1978,"Pittsburgh, PA",479443.0,66.0,231.0,1475.0,3046.0
1978,"Portland, OR",362497.0,34.0,371.0,1838.0,1774.0
1978,"Prince George's County, MD",554087.0,36.0,316.0,1617.0,1998.0
1978,"Raleigh, NC",150124.0,12.0,48.0,412.0,173.0
1978,"Sacramento, CA",261465.0,61.0,218.0,1337.0,1582.0
1978,"Salt Lake City, UT",185000.0,21.0,131.0,459.0,451.0
1978,"San Antonio, TX",816780.0,136.0,304.0,1568.0,1438.0
1978,"San Diego, CA",797293.0,68.0,316.0,1606.0,2530.0
1978,"San Francisco, CA",658611.0,118.0,583.0,3299.0,6509.0
1978,"San Jose, CA",587621.0,44.0,367.0,1189.0,1155.0
1978,"Seattle, WA",489961.0,54.0,360.0,2229.0,2257.0
1978,"St. Louis, MO",525123.0,210.0,497.0,4363.0,5025.0
1978,"Suffolk County, NY",1157014.0,21.0,142.0,1255.0,1105.0
1978,"Tampa, FL",263175.0,41.0,253.0,2136.0,1080.0
1978,"Tucson, AZ",309200.0,26.0,155.0,889.0,584.0
1978,"Tulsa, OK",356000.0,45.0,193.0,1313.0,609.0
1978,"Virginia Beach, VA",240654.0,3.0,67.0,225.0,170.0
1978,"Washington, DC",674000.0,189.0,447.0,2546.0,6333.0
1978,"Wichita, KS",260642.0,25.0,133.0,531.0,542.0
1979,"Albuquerque, NM",302120.0,47.0,215.0,1602.0,815.0
1979,"Arlington, TX",130265.0,11.0,52.0,373.0,190.0
1979,"Atlanta, GA",423103.0,231.0,656.0,4639.0,5189.0
1979,"Aurora, CO",134224.0,9.0,78.0,595.0,351.0
1979,"Austin, TX",337727.0,43.0,216.0,659.0,577.0
1979,"Baltimore County, MD",639872.0,21.0,182.0,3782.0,1056.0
1979,"Baltimore, MD",790901.0,245.0,564.0,6232.0,8482.0
1979,"Boston, MA",599582.0,92.0,464.0,4236.0,6600.0
1979,"Buffalo, NY",383915.0,52.0,265.0,1582.0,1958.0
1979,"Charlotte, NC",300569.0,50.0,115.0,1617.0,703.0
1979,"Chicago, IL",3060801.0,856.0,1655.0,10832.0,14464.0
1979,"Cincinnati, OH",404661.0,50.0,282.0,1814.0,1662.0
1979,"Cleveland, OH",601381.0,274.0,612.0,3090.0,5760.0
1979,"Columbus, OH",534052.0,69.0,423.0,1305.0,2445.0
1979,"Dallas, TX",882225.0,307.0,983.0,5707.0,4456.0
1979,"Denver, CO",486407.0,66.0,626.0,2169.0,2257.0
1979,"Detroit, MI",1258924.0,452.0,1369.0,7787.0,11413.0
1979,"El Paso, TX",413244.0,33.0,175.0,1224.0,813.0
1979,"Fairfax County, VA",519384.0,11.0,124.0,282.0,465.0
1979,"Fort Worth, TX",384582.0,99.0,345.0,1572.0,1783.0
1979,"Fresno, CA",194849.0,43.0,148.0,776.0,1009.0
1979,"Honolulu, HI",734368.0,48.0,223.0,357.0,1568.0
1979,"Houston, TX",1619644.0,654.0,1481.0,2770.0,9311.0
1979,"Indianapolis, IN",513877.0,92.0,439.0,1594.0,2053.0
1979,"Jacksonville, FL",546419.0,73.0,372.0,2903.0,1555.0
1979,"Kansas City, MO",462914.0,119.0,436.0,2736.0,2651.0
1979,"Las Vegas, NV",324220.0,75.0,198.0,1046.0,1891.0
1979,"Long Beach, CA",349158.0,61.0,278.0,1373.0,2278.0
1979,"Los Angeles County, CA",911864.0,201.0,694.0,7141.0,3493.0
1979,"Los Angeles, CA",2863412.0,786.0,2508.0,19624.0,20454.0
1979,"Memphis, TN",682110.0,103.0,704.0,1678.0,3300.0
1979,"Mesa, AZ",115498.0,2.0,53.0,547.0,153.0
1979,"Miami-Dade County, FL",677573.0,129.0,428.0,5719.0,3232.0
1979,"Miami, FL",362840.0,134.0,261.0,3040.0,3390.0
1979,"Milwaukee, WI",645097.0,63.0,283.0,1101.0,1592.0
1979,"Minneapolis, MN",363899.0,30.0,327.0,1554.0,1988.0
1979,"Montgomery County, MD",522756.0,17.0,130.0,534.0,560.0
1979,"Nashville, TN",444443.0,89.0,266.0,1180.0,1716.0
1979,"Nassau County, NY",1105718.0,20.0,39.0,425.0,773.0
1979,"New Orleans, LA",567656.0,242.0,423.0,2953.0,5276.0
1979,"New York City, NY",7109420.0,1733.0,3875.0,44203.0,82572.0
1979,"Newark, NJ",315818.0,129.0,417.0,3001.0,6100.0
1979,"Oakland, CA",344686.0,106.0,373.0,2513.0,3072.0
1979,"Oklahoma City, OK",381348.0,83.0,311.0,2230.0,1188.0
1979,"Omaha, NE",370326.0,40.0,193.0,830.0,954.0
1979,"Orlando, FL",121515.0,17.0,133.0,1080.0,496.0
1979,"Philadelphia, PA",1757368.0,385.0,838.0,4476.0,8838.0
1979,"Phoenix, AZ",718216.0,91.0,477.0,2898.0,2337.0
